what,kind,bundleId,bundleVersion,description,time
closed,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844418390
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346844434437
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346844434437
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844435562
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844435578
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1346844437687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844438562
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844441656
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844442750
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346844444156
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346844458187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346844460578
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1346844472765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844473828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844475781
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844476562
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844489531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844503000
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844515359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1346844519187
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346844520875
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1346844534812
error,log,,,"kitap1.xml: android.content.res.Resources$NotFoundException",1346844536593
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844538890
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346844548250
activated,view,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views.PropertySheet",1346844558890
error,log,,,"kitap1.xml: Color value '0' must start with #",1346844563500
error,log,,,"kitap1.xml: Color value '0' must start with #",1346844563656
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346844567250
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1346844577390
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1346844585468
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844586421
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346844586437
