what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346841085875
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841088140
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841088968
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841094156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841097500
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346841097687
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346841097750
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346841099375
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841103078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841106453
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346841106640
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1346841106718
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346841108984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841114062
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841121203
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346841121640
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346841121703
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841131953
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841135484
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1346841135515
opened,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346841136000
activated,editor,com.android.ide.eclipse.adt,18.0.0.v201203301601-306762,"com.android.ide.eclipse.editors.CommonXmlEditor",1346841136046
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841141781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1346841144359
